source§link§author§title§theme§year§content
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des beaux-arts, livre 1, chapitre VII.§imagination|art§§Dans l'imagination errante tout est promesse, par des émotions sans mesure ; aussi il se peut bien que le sculpteur sans expérience souhaite quelque matière plastique qui change aussi vite que ses propres inspirations. Mais quand il souhaiterait seulement quelque aide du diable, par laquelle le marbre serait taillé aussitôt selon le désir, il se tromperait encore sur sa véritable puissance. Si le pouvoir d'exécuter n'allait pas beaucoup plus loin que le pouvoir de penser ou de rêver, il n'y aurait point d'artistes... Sans doute un des mouvements les plus naturels de l'artiste est d'ajouter un peu à la nature et de finir cette ébauche ; c'est donner à un fantôme la forme d'un objets. Et c'est ce que peuvent remarquer ceux qui sculptent des cannes ; ils cherchent dans les formes de la racine quelque tête d'animal à peine ébauchée ; mais celui qui est habile marche ici prudemment ; chaque parcelle de bois enlevée détermine un peu plus la forme et conduit à un nouvel essai. Ainsi l'artiste observateur décide par l'action inspirée, afin de percevoir quelque chose. En sorte que son modèle c'est d'abord l'objet et ensuite l'oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§travail|providence§§L'homme est le seul animal qui doit travailler. Il lui faut d'abord beaucoup de préparation pour en venir à jouir de ce qui est supposé par sa conservation. La question de savoir si le Ciel n'aurait pas pris soin de nous avec plus de bienveillance, en nous offrant toutes les choses déjà préparées, de telle sorte que nous ne serions pas obligés de travailler, doit assurément recevoir une réponse négative : l'homme, en effet, a besoin d'occupations et même de celles qui impliquent une certaine contrainte. Il est tout aussi faux de s'imaginer que si Adam et Eve étaient demeurés au Paradis, ils n'auraient rien fait d'autre que d'être assis ensemble, chanter des chants pastoraux, et contempler la beauté de la nature. L'ennui les eût torturés tout aussi bien que d'autres hommes dans une situation semblable.L'homme doit être occupé de telle manière qu'il soit rempli par le but qu'il a devant les yeux.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§education|autonomie|politique§§L'homme ne peut devenir homme que par l'éducation. Il n'est que ce qu'elle le fait. Il est à remarquer qu'il ne peut recevoir cette éducation que d'autres hommes, qui l'aient également reçue. Aussi le manque de discipline et d'instruction chez quelques hommes en fait-il de très mauvais maîtres pour leurs élèves. Si un être d'une nature supérieure se chargeait de notre éducation, on verrait alors ce qu'on peut faire de l'homme. Mais, comme l'éducation, d'une part, apprend quelque chose aux hommes, et, d'autre part, ne fait que développer en eux certaines qualités, il est impossible de savoir jusqu'où vont nos dispositions naturelles. Si du moins on faisait une expérience avec l'assistance des grands et en réunissant les forces de plusieurs, cela nous éclairerait déjà sur la question de savoir jusqu'où l'homme peut aller dans cette voie.  Mais c'est une chose aussi digne de remarque pour un esprit spéculatif que triste pour un ami de l'humanité, de voir la plupart des grands ne jamais songer qu'à eux et ne prendre aucune part aux importantes expériences que l'on peut pratiquer sur l'éducation, afin de faire faire à la nature un pas de plus vers la perfection.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§etat|droit|guerre§§Il ne doit y avoir aucune guerre ; ni celle entre toi et moi dans l'état de nature, ni celle entre nous en tant qu'Etats, qui bien qu'ils se trouvent intérieurement dans un état légal, sont cependant extérieurement (dans leur rapport réciproque) dans un état dépourvu de lois - car ce n'est pas ainsi que chacun doit chercher son droit. Aussi la question n'est pas de savoir si la paix perpétuelle est quelque chose de réel ou si ce n'est qu'une chimère et si nous ne nous trompons pas dans notre jugement théorique, quand nous admettons le premier cas, mais nous devons agir comme si la chose qui peut-être ne sera pas devait être, et en vue de sa fondation établir la constitution qui nous semble la plus capable d'y mener et de mettre fin à la conduite de la guerre dépourvue de salut, vers laquelle tous les Etats sans exception ont jusqu'à maintenant dirigé leurs préparatifs intérieurs, comme vers leur fin suprême. Et si notre fin, en ce qui concerne sa réalisation, demeure toujours un voeu pieux, nous ne nous trompons certainement pas en admettant la maxime d'y travailler sans relâche, puisqu'elle est un devoir.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Réponse à la question: qu'est-ce que les lumières ?Texte donné au baccalauréat.§liberte|autonomie|raison§§Il est (... ) difficile pour chaque individu séparément de sortir de la minorité, qui est presque devenue pour lui nature. Il s'y est si bien complu ; et il est pour le moment réellement incapable de se servir de son propre entendement, parce qu'on ne l'a jamais laissé en faire l'essai. Institutions et formules, ces instruments mécaniques d'un usage de la raison, ou plutôt d'un mauvais usage des dons naturels, voilà les grelots que l'on a attachés aux pieds d'une minorité qui persiste. Quiconque même les rejetterait ne pourrait faire qu'un saut mal assuré par-dessus les fossés les plus étroits, parce qu'il n'est pas habitué à remuer ses jambes en liberté. Aussi sont-ils peu nombreux, ceux qui sont arrivés, par le propre travail de leur esprit, à s'arracher à la minorité et à pouvoir marcher d'un pas assuré.Mais qu'un public s'éclaire lui-même, rentre davantage dans le domaine du possible : c'est même pour peu qu'on lui en laisse la liberté, à peu près inévitable. Car on rencontrera toujours quelques hommes qui pensent de leur propre chef (...) et qui, après avoir eux-mêmes secoué le joug de la minorité, répandront l'esprit d'une estimation raisonnable de sa valeur propre et de la vocation de chaque homme à penser par soi-même.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§art|genie|nature§§Dans le domaine scientifique ainsi, le plus remarquable auteur de découvertes ne se distingue que par le degré de l'imitateur et de l'écolier le plus laborieux, tandis qu'il est spécifiquement différent de celui que la nature a doué pour les beaux-arts. Il ne faut cependant pas voir en ceci une quelconque dépréciation de ces grands hommes auxquels l'espèce humaine doit tant, par rapport à ceux qui par leur talent pour les beaux-arts sont les favoris de la nature. Le grand privilège des premiers par rapport à ceux qui méritent l'honneur d'être appelés des génies, c'est que leur talent consiste à contribuer à la perfection toujours croissante des connaissances et de l'utilité qui en dépend, comme à instruire les autres dans ces mêmes connaissances. Mais pour le génie l'art s'arrête quelque part, puisqu'une limite lui est imposée au-delà de laquelle il ne peut aller, limite qu'il a d'ailleurs vraisemblablement déjà atteinte depuis longtemps et qui ne peut plus être reculée ; en outre, l'aptitude propre au génie ne peut être communiquée et elle est donnée immédiatement à chacun en partage de la main de la nature ; elle disparaît donc avec lui, jusqu'à ce que la nature confère à un autre les mêmes dons. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§science|prevision|entendement§§DE LA FACULTE DE PREVOIR (praevisio).Il y a plus d'intérêt posséder cette faculté que toute autre, puisqu'elle est la condition de toute pratique possible et des desseins auxquels l'homme applique l'usage de ses forces. Tout désir comporte une prévision, douteuse ou certaine, de ce que ces forces permettent. On ne tourne les yeux vers le passé (souvenir) que pour rendre possible la prévision du futur. En général, si nous regardons autour de nous, c'est du point de vue du présent, pour nous décider ou nous préparer à quelque chose. 		La prévision empirique est l'attente des cas similaires et ne requiert pas une connaissance rationnelle des causes et des effets, mais seulement le souvenir des faits observés et de la manière dont ils ont coutume de se succéder : ce sont les expériences répétées qui font naître l'habileté ; le régime des vents et des climats intéresse beaucoup le marin et le laboureur. Mais une telle prévision n'atteint rien de plus que ce qu'on appelle le calendrier des paysans ; on en vante les prédictions si elles se réalisent en partie ; on les oublie si elles ne se réalisent pas ; ainsi conservent-elles toujours un certain crédit. Il serait à croire que la providence a voulu brouiller inexorablement le jeu des températures, pour que les hommes, mal au courant des précautions à prendre en chaque saison, soient obligés d'avoir recours à l'entendement pour être prêts à toutes les éventualités. 		Vivre au jour le jour (sans prévoir ni se préoccuper) ne fait pas grand honneur à l'entendement humain ; c'est le cas du Caraïbe qui le matin vend son hamac et le soir se désole de ne savoir où dormir pendant la nuit.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Fondement de la métaphysique des moeurs, 1ère section.Texte donné au baccalauréat.§devoir|morale|respect§§Etre bienfaisant, quand on le peut, est un devoir, et de plus il y a de certaines âmes si portées à la sympathie, que même sans un autre motif de vanité ou d'intérêt elles éprouvent une satisfaction intime à répandre la joie autour d'elles et qu'elles peuvent jouir du contentement d'autrui en tant qu'il est leur oeuvre. Mais je prétends que dans ce cas une telle action, si conforme au devoir, si aimable qu'elle soit, n'a pas cependant de valeur morale véritable, qu'elle va de pair avec d'autres inclinations, avec l'ambition par exemple qui, lorsqu'elle tombe heureusement sur ce qui est réellement en accord avec l'intérêt public et le devoir, sur ce qui par conséquent est honorable, mérite louange et encouragement, mais non respect ; car il manque à la maxime la valeur morale, c'est-à-dire que ces actions soient faites, non par inclination, mais par devoir. Supposez donc que l'âme de ce philanthrope soit assombrie par un de ces chagrins personnels qui étouffent toute sympathie pour le sort d'autrui, qu'il ait toujours encore le pouvoir de faire du bien à d'autres malheureux, mais qu'il ne soit pas touché de l'infortune des autres, étant trop absorbé par la sienne propre, et que, dans ces conditions, tandis qu'aucune inclination ne l'y pousse plus, il s'arrache néanmoins cette insensibilité mortelle et qu'il agisse, sans que ce soit sous l'influence d'une inclination, uniquement par devoir, alors seulement son action a une véritable valeur morale.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§verite|jugement|croyance§§La croyance est un fait de notre entendement susceptible de reposer sur des principes objectifs, mais qui exige aussi des causes subjectives dans l'esprit de celui qui juge. Quand elle est valable pour chacun, en tant du moins qu'il a de la raison, son principe est objectivement suffisant et la croyance se nomme conviction. Si elle n'a son fondement que dans la nature particulière du sujet, elle se nomme persuasion.La persuasion est une simple apparence, parce que le principe du jugement qui est uniquement dans le sujet est tenu pour objectif. Aussi un jugement de ce genre n'a-t-il qu'une valeur individuelle et la croyance ne peut-elle pas se communiquer. Mais la vérité repose sur l'accord avec l'objet et, par conséquent, par rapport à cet objet, les jugements de tout entendement doivent être d'accord. La pierre de touche grâce à laquelle nous distinguons si la croyance est une conviction ou simplement une persuasion est donc extérieure et consiste dans la possibilité de communiquer sa croyance et de la trouver valable pour la raison de tout homme, car alors il est au moins à présumer que la cause de la concordance de tous les jugements, malgré la diversité des sujets entre eux, reposera sur un principe commun, je veux dire l'objet avec lequel, par conséquent, tous les sujets s'accorderont de manière à prouver par là la vérité du jugement.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§liberte|loi|politique|etat§§La liberté en tant qu'homme, j'en exprime le principe pour la constitution d'une communauté dans la formule : personne ne peut me contraindre à être heureux d'une certaine manière (celle dont il conçoit le bien-être des autres hommes), mais il est permis à chacun de chercher le bonheur dans la voie qui lui semble, à lui, être la bonne, pourvu qu'il ne nuise pas à la liberté qui peut coexister avec la liberté de chacun selon une loi universelle possible (autrement dit, à ce droit d'autrui). Un gouvernement qui serait fondé sur le principe de la bienveillance envers le peuple, tel celui du père envers ses enfants, c'est-à-dire un gouvernement paternel, où par conséquent les sujets, tels des enfants mineurs incapables de décider de ce qui leur est vraiment utile ou nuisible, sont obligés de se comporter de manière uniquement passive, afin d'attendre uniquement du jugement du chef de l'Etat la façon dont ils doivent être heureux, et uniquement de sa bonté qu'il le veuille également, - un tel gouvernement, dis-je, est le plus grand despotisme que l'on puisse concevoir (constitution qui supprime toute liberté des sujets qui, dès lors, ne possèdent plus aucun droit).
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§devoir|morale|citoyen§§Nous sommes hautement cultivés dans le domaine de l'art et de la science. Nous sommes civilisés, au point d'en être accablés, pour ce qui est de l'urbanité et des bienséances sociales de tout ordre. Mais quant à nous considérer comme déjà moralisés, il s'en faut encore de beaucoup. Car l'idée de la moralité appartient encore à la culture ; par contre, l'application de cette idée, qui aboutit seulement à une apparence de moralité dans l'honneur et la bienséance extérieure, constitue simplement la civilisation. Mais aussi longtemps que des Etats consacreront toutes leurs forces à des vues d'expansion chimériques et violentes, et entraveront ainsi sans cesse le lent effort de formation intérieure de la pensée chez leurs citoyens, les privant même de tout secours dans la réalisation de cette fin, on ne peut escompter aucun résultat de ce genre ; car un long travail intérieur est nécessaire de la part de chaque communauté pour former à cet égard ses citoyens. Par contre, tout bien qui n'est pas greffé sur une disposition moralement bonne n'est que pure chimère et faux clinquant. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§art|beau|agreable§§Pour ce qui est de l'agréable chacun se résigne ce que son jugement, fondé sur un sentiment individuel, par lequel il affirme qu'un objet lui plaît, soit restreint à sa seule personne. Il admet donc quand il dit : le vin des Canaries est agréable, qu'un autre corrige l'expression et lui rappelle qu'il doit dire : il m'est agréable ; il en est ainsi non seulement pour le goût de la langue, du palais et du gosier, mais aussi pour ce qui plaît aux yeux et aux oreilles de chacun. L'un trouve la couleur violette douce et aimable, un autre la trouve morte et terne ; l'un préfère le son des instruments à vent, l'autre celui des instruments cordes. Discuter à ce propos pour accuser d'erreur le jugement d'autrui, qui diffère du nôtre, comme s'il s'opposait à lui logiquement, ce serait folie ; au point de vue de l'agréable, il faut admettre le principe : à chacun son goût (il s'agit du goût des sens).Il en va tout autrement du beau. Car il serait tout au contraire ridicule qu'un homme qui se piquerait de quelque goût, pensât justifier ses prétention en disant : cet objet (l'édifice que nous voyons, le vêtement qu'un tel porte, le concert que nous entendons, le poème que l'on soumet à notre jugement) est beau pour moi. Car il ne suffit pas qu'une chose lui plaise pour qu'il ait le droit de l'appeler belle ; beaucoup de choses peuvent avoir pour lui du charme et de l'agrément, personne ne s'en soucie mais quand il donne une chose pour belle, il prétend trouver la même satisfaction en autrui ; il ne juge pas seulement pour lui mais pour tous et parle alors de la beauté comme si elle était une propriété d'objets ; il dit donc : la chose est belle, et s'il compte sur l'accord des autres avec son jugement de satisfaction, ce n'est pas qu'il ait constaté diverses reprises cet accord mais c'est qu'il l'exige. Il blâme s'ils jugent autrement, il leur dénie le goût tout en demandant qu'ils en aient ; et ainsi on ne peut pas dire : chacun son goût. Cela reviendrait à dire : il n'y a pas de goût, c'est-à-dire pas de jugement esthétique qui puisse légitimement prétendre l'assentiment universel.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§religion|loi|morale|devoir§§Qu'est-ce donc, au demeurant, la religion ? La religion est la loi présente en nous pour autant qu'elle reçoit son poids d'un législateur et juge au-dessus de nous (...). Chants de louange, prières, fréquentation de l'église ne sont destinés qu'à donner à l'homme des forces nouvelles, un courage neuf pour s'amender, ou à servir d'expression à un coeur animé de la représentation du devoir. Elles ne sont que préparations à des oeuvres de bien, mais non oeuvres de bien elles-mêmes, et l'on ne saurait se rendre agréable à l'Etre suprême qu'en devenant meilleur.Il faut commencer auprès de l'enfant par la loi qu'il porte en lui. L'homme perdu de vices est méprisable à ses propres yeux. Ce mépris a son fondement en l'homme même, et il n'en est nullement ainsi parce que Dieu a interdit le mal. Point n'est besoin en effet que le législateur soit en même temps l'auteur de la loi. Ainsi un prince peut dans son pays interdire le vol sans qu'on puisse parler de lui comme de l'auteur de l'interdit de voler. L'homme puise à cette source la claire vision que sa bonne conduite seule le rend digne du bonheur. La loi divine doit apparaître en même temps loi naturelle, car elle n'est pas arbitraire. De là vient que la religion entre dans la moralité.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§bonheur|action|vie§§Mais qu'en est-il de la satisfaction (acquiescentia) pendant la vie ? - Elle n'est pas accessible à l'homme : ni dans un sens moral (être satisfait de soi-même pour sa bonne volonté) ni dans un sens pragmatique (être satisfait du bien-être qu'on pense pouvoir se procurer par l'habileté et l'intelligence). La nature a placé en l'homme, comme stimulant de l'activité, la douleur à laquelle il ne peut se soustraire afin que le progrès s'accomplisse toujours vers le mieux ; et même à l'instant suprême, on ne peut se dire satisfait de la dernière partie de sa vie que d'une manière relative (en partie par comparaison avec le lot des autres, en partie par comparaison avec nous-mêmes) ; mais on ne l'est jamais purement ni absolument. Dans la vie, être satisfait (absolument), ce serait, hors de toute activité, le repos et l'inertie des mobiles ou l'engourdissement des sensations et de l'activité qui leur est liée. Un tel état est tout aussi incompatible avec la vie intellectuelle de l'homme que l'immobilité du coeur dans un organisme animal, immobilité à laquelle, si ne survient aucune nouvelle excitation (par la douleur), la mort fait suite inévitablement.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§etat|guerre|liberte§§Les plus grands maux qui accablent les peuples civilisés nous sont amenés par la guerre, et vrai dire non pas tant par celle qui réellement a lieu ou a eu lieu, que par les préparatifs incessants et même régulièrement accrus en vue d'une guerre à venir.C'est à cela que l'Etat gaspille toutes ses forces, tous les fruits de la culture qui pourraient être utilisés à augmenter encore celle-ci ; on porte en bien des endroits un grave préjudice la liberté, et les attentions maternelles de l'Etat pour des membres pris individuellement se changent en exigences d'une dureté impitoyable, légitimées toutefois par la crainte d'un danger extérieur. Mais cette culture, l'étroite union des classes dans la communauté en vue de l'accroissement mutuel de leur bien-être, la population, et qui plus est, ce degré de liberté persistant, même en dépit des lois restrictives, est-ce que tout cela subsisterait, si cette crainte constante de la guerre n'amenait de force chez les chefs d'Etat la considération envers l'Humanité ... Donc au degré de culture auquel est parvenu le genre humain, la guerre est un moyen indispensable pour la perfectionner encore ; et ce n'est qu'après l'achèvement (Dieu sait quand) de cette culture qu'une paix éternelle nous serait salutaire et deviendrait de ce fait possible.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§liberte|autonomie|entendement§§La paresse et la lâcheté sont les causes qui expliquent qu'un si grand nombre d'hommes, après que la nature les a affranchis depuis longtemps d'une direction étrangère, restent cependant volontiers leur vie durant, mineurs, et qu'il soit si facile à d'autres de se poser en tuteurs des premiers. Il est si aisé d'être mineur ! Si j'ai un livre qui me tient lieu d'entendement, un directeur qui me tient lieu de conscience, un médecin qui décide pour moi de mon régime, etc., je n'ai vraiment pas besoin de me donner de peine moi-même. Je n'ai pas besoin de penser, pourvu que je puisse payer ; d'autres se chargeront bien de ce travail ennuyeux. Que la grande majorité des hommes tienne aussi pour très dangereux ce pas en avant vers leur majorité, outre que c'est une chose pénible, c'est ce à quoi s'emploient fort bien les tuteurs qui, très aimablement, ont pris sur eux d'exercer une haute direction de l'humanité. Après avoir rendu bien sot leur bétail, et avoir soigneusement pris garde que ces paisibles créatures n'aient pas la permission d'oser faire le moindre pas hors du parc où ils les ont enfermées, ils leur montrent le danger qui les menace, si elles essaient de s'aventurer seules au dehors. Or ce danger n'est vraiment pas si grand ; car, elles apprendraient bien enfin, après quelques chutes, à marcher ; mais un accident de cette sorte rend néanmoins timide, et la frayeur qui en résulte détourne ordinairement d'en refaire l'essai. Il est donc difficile pour chaque individu de sortir de la minorité, qui est presque devenue pour lui nature.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§liberte|autonomie|enfance|famille§§Les enfants de la maison, qui avec les parents constituaient une famille, deviennent majeurs, c'est-à-dire leurs propres maîtres, sans qu'il soit besoin d'un contrat qui les libère de leur dépendance passée, par le seul fait qu'ils parviennent à la faculté de se conserver eux-mêmes (ce qui résulte en partie du cours universel de la nature qui leur donne une majorité naturelle, et en partie de leurs dispositions particulières) ; ils acquièrent ce droit sans aucun acte juridique particulier, par conséquent simplement grâce à la loi. Ils ne doivent plus rien aux parents en ce qui touche leur éducation, de même que ceux-ci sont libérés inversement en même façon de leur obligation envers les enfants, si bien que les uns et les autres trouvent ou retrouvent leur naturelle liberté. Quant à la société familiale qui était nécessaire d'après la loi, elle est dès lors dissoute.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kant&texte=&reference=&theme=§Kant (Emmanuel)§Texte donné au baccalauréat.§passions|animal|instinct§§Les passions ne sont toujours que des désirs d'hommes à hommes et non pas d'hommes à choses ; pour un champ fertile, pour une vache prolifique, on peut avoir une inclination, qui, à vrai dire, est recherche du profit ; mais on ne peut avoir pour eux d'affection (celle-ci consiste en une tendance à former communauté avec d'autres), encore moins de passion (...). Chez les simples animaux, la tendance la plus violente (par exemple la tendance sexuelle) ne prend pas le nom de passion : c'est qu'ils ne possèdent pas la raison qui seule fonde le concept de liberté et qui s'oppose ma passion ; c'est donc chez l'homme seul qu'elle surgit. Il est vrai qu'on dit des hommes qu'ils aiment certaines choses passionnément (la boisson, le jeu, la chasse) ou qu'ils haïssent passionnément (le musc ou l'alcool de vin). Mais ces différentes répulsions, on ne les appelle pas pour autant passions - car ce ne sont qu'autant d'instincts différents.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kierkegaard&texte=&reference=&theme=§Kierkegaard (Søren)§Post-scriptum définitif et non scientifique aux Miettes philosophiques, trad. P. H. Tisseau, OEuvres complètes, Volume 1, Ed. de l'Orante, 1977, pp. 191-193.§existence|conscience|foi§1977§La proposition : la subjectivité, l'intériorité est la vérité, implique la sagesse socratique dont le mérite immortel est justement d'avoir pris garde à l'importance essentielle de l'existence, au fait que le sujet qui connaît est un existant ; et c'est pourquoi Socrate, en son ignorance éminemment païen, était dans la vérité. à notre époque d'objectivité, il peut déjà être assez difficile de voir que le malheur de la spéculation est d'oublier continuellement que le connaissant est un existant. (...) La subjectivité, l'intériorité étant la vérité, celle-ci, objectivement envisagée, est le paradoxe ; et quand la vérité est objectivement le paradoxe, cela montre bien que la subjectivité repousse et que le recul ainsi provoqué donne et mesure la tension de l'intériorité. Le paradoxe est l'incertitude objective qui exprime la passion de l'intériorité, laquelle est justement la vérité. Telle est la position socratique. La vérité éternelle, essentielle et, pour préciser encore, celle qui se rapporte essentiellement à un existant du fait qu'elle concerne essentiellement l'existence, est le paradoxe ; (et tout autre savoir est, pour Socrate, contingent et son degré et son étendue sont indifférents.) Mais la vérité éternelle, essentielle n'est nullement elle-même le paradoxe ; elle l'est par son contact avec un existant. L'ignorance socratique est une façon d'exprimer l'incertitude objective ; l'intériorité de l'existant est la vérité. Je relève ici, en anticipant, que l'ignorance socratique est l'analogue, l'équivalent de l'absurde, sauf que dans le recul provoqué par l'absurde il y a encore moins de vérité objective, puisqu'il n'y a d'autre certitude que celle d'être en présence de l'absurde, d'où la tension infiniment plus grande de l'intériorité ; l'intériorité socratique déployée dans l'existence est un équivalent de la foi, sauf que l'intériorité de la foi est infiniment plus profonde en tant que correspondant au recul causé non par l'ignorance, mais par l'absurde. Pour Socrate, la vérité éternelle, n'a rien de paradoxal en elle-même ; elle ne l'est qu'en se rapportant à un existant. C'est ce qu'exprime une autre thèse socratique : toute connaissance est une réminiscence. Elle dénote un début de spéculation ; aussi bien Socrate ne la poursuit-il pas ; elle devient strictement propre à Platon. C'est ici qu'ils se séparent : Socrate souligne essentiellement l'existence, tandis que Platon, oubliant ce point, se perd dans la spéculation. L'inappréciable mérite de Socrate est d'être un penseur existant, et non un spéculant qui oublie ce qu'est l'existence. Aussi, pour Socrate, la thèse que toute connaissance est une réminiscence signifie-t-elle, au moment où il s'en sépare et en tant qu'elle représente une possibilité toujours supprimée de spéculer, deux choses : 1) Le connaissant est essentiellement integer (intact) ; pour la connaissance de la vérité éternelle, il n'a pas d'autre obstacle ou sujet d'erreur que le fait de son existence ; et cette inadéquation est, pour lui, d'une importance si capitale et décisive qu'elle revient à dire qu'exister, que le travail d'intériorisation dans et par le fait d'exister, est la vérité ; 2) L'existence dans la temporalité n'a pas d'importance décisive parce qu'on a toujours la possibilité de se ressaisir dans l'éternité par la réminiscence, bien que cette possibilité soit constamment supprimée du fait que le travail d'intériorisation qui constitue l'existence, remplit le temps (...). Le mérite incomparable de la pensée socratique est justement de mettre en relief que le connaissant est un existant et que l'existence est l'essentiel.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=kierkegaard&texte=&reference=&theme=§Kierkegaard (Søren)§Post-scriptum aux miettes philosophiques, (1846), Paris, Gallimard, 1941, p 220.§existence|realite§1846§Pour l'existant, le suprême intérêt, c'est d'exister, et l'intérêt à l'existence est la réalité. C'est que la réalité ne se laisse pas exprimer dans le langage de l'abstraction. La réalité est un inter-esse entre l'unité abstraite hypothétique de la pensée et l'être. L'abstraction traite de la possibilité et de la réalité, mais sa conception de la réalité est une fausse interprétation, car le plan sur lequel nous sommes n'est pas celui de la réalité, mais celui de la possibilité. L'abstraction ne peut se rendre maîtresse de la réalité qu'en l'abolissant, mais l'abolir signifie justement la transformer en possibilité. Tout ce qui est dit de la réalité dans le langage de l'abstraction se rapporte en effet comme une possibilité à la réalité et non à une réalité qui se trouverait à l'intérieur de l'abstraction et de la possibilité. La réalité, l'existence, est le moment dialectique dans une trilogie dont le commencement et la fin ne sont pas là pour un  homme existant qui, en tant qu'existant, se trouve dans le moment dialectique. L'abstraction ferme la trilogie. Parfait. Mais comment le fait-elle ? L'abstraction est-elle donc quelque chose, ou bien plutôt n'est-elle pas un acte de celui qui abstrait ? Mais celui qui abstrait est bel et bien un être existant et donc, en tant qu'existant, il se trouve dans le moment dialectique qu'il ne peut réduire ou clore, et encore moins clore d'une façon absolue aussi longtemps qu'il existe.Quand donc il le fait, il faut que cela se rapporte à l'existence, dans laquelle il est lui-même, comme une possibilité  à la réalité. Il faut qu'il explique comment il se comporte en l'occurrence, c'est-à-dire comment il se comporte en tant qu'existant, ou s'il cesse d'exister, et si cela est permis à un homme existant. A l'instant même où nous commençons a questionner ainsi, nous  sommes sur le plan de l'éthique et nous faisons valoir auprès de l'homme existant l'exigence de l'éthique qui ne peut consister à faire abstraction de l'existence, mais au contraire à devoir  exister, ce qui est aussi le suprême interêt de celui qui existe.
